name,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat
MSE,0.852(0.013),1.251(0.028),1.043(0),0.861(0.013),0.825(0.014),0.769(0.01),1.295(0.029),1.043(0),0.782(0.011),0.757(0.011),0.737(0.011),1.33(0.033),1.043(0),0.752(0.011),0.739(0.013),0.805(0.013),1.104(0.029),1.043(0),0.819(0.012),0.792(0.015),0.742(0.012),1.262(0.027),1.043(0),0.755(0.011),0.735(0.013),0.7(0.011),1.286(0.03),1.043(0),0.712(0.01),0.698(0.012)
Accuracy,0.541(0.005),0.499(0.006),0.565(0),0.539(0.005),0.546(0.004),0.552(0.005),0.491(0.006),0.565(0),0.552(0.005),0.557(0.005),0.562(0.005),0.487(0.006),0.565(0),0.56(0.004),0.565(0.004),0.549(0.004),0.515(0.006),0.565(0),0.548(0.004),0.554(0.005),0.561(0.004),0.497(0.005),0.565(0),0.559(0.004),0.564(0.004),0.568(0.005),0.494(0.006),0.565(0),0.567(0.005),0.57(0.005)
Macro-F1,0.399(0.006),0.448(0.007),0.465(0),0.397(0.007),0.502(0.006),0.423(0.006),0.447(0.007),0.465(0),0.419(0.006),0.519(0.007),0.439(0.007),0.448(0.007),0.465(0),0.43(0.006),0.441(0.037),0.415(0.006),0.46(0.007),0.465(0),0.41(0.006),0.511(0.007),0.436(0.007),0.453(0.006),0.465(0),0.429(0.007),0.507(0.043),0.45(0.006),0.453(0.007),0.465(0),0.443(0.006),0.439(0.006)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,MSE,Accuracy,Macro-F1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm.,0.852(0.013),0.541(0.005),0.399(0.006),CBOW1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,1.251(0.028),0.499(0.006),0.448(0.007),,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,1.043(0),0.565(0),0.465(0),,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,0.861(0.013),0.539(0.005),0.397(0.007),,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,0.825(0.014),0.546(0.004),0.502(0.006),,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm.,0.769(0.01),0.552(0.005),0.423(0.006),2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,1.295(0.029),0.491(0.006),0.447(0.007),,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,1.043(0),0.565(0),0.465(0),,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,0.782(0.011),0.552(0.005),0.419(0.006),,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,0.757(0.011),0.557(0.005),0.519(0.007),,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm.,0.737(0.011),0.562(0.005),0.439(0.007),SK1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,1.33(0.033),0.487(0.006),0.448(0.007),,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,1.043(0),0.565(0),0.465(0),,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,0.752(0.011),0.56(0.004),0.43(0.006),,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,0.739(0.013),0.565(0.004),0.441(0.037),,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm.,0.805(0.013),0.549(0.004),0.415(0.006),2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,1.104(0.029),0.515(0.006),0.46(0.007),,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,1.043(0),0.565(0),0.465(0),,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,0.819(0.012),0.548(0.004),0.41(0.006),,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,0.792(0.015),0.554(0.005),0.511(0.007),,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm.,0.742(0.012),0.561(0.004),0.436(0.007),TF4,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,1.262(0.027),0.497(0.005),0.453(0.006),,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,1.043(0),0.565(0),0.465(0),,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,0.755(0.011),0.559(0.004),0.429(0.007),,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,0.735(0.013),0.564(0.004),0.507(0.043),,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm.,0.7(0.011),0.568(0.005),0.45(0.006),wiki,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,1.286(0.03),0.494(0.006),0.453(0.007),,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,1.043(0),0.565(0),0.465(0),,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,0.712(0.01),0.567(0.005),0.443(0.006),,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,0.698(0.012),0.57(0.005),0.439(0.006),,,,,,,,,,,,,,,,,,,,,,,,,,,
