name,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat
MSE,2.192(0.125),2.703(0.252),2.114(0.124),2.244(0.121),2.188(0.132),2.058(0.142),2.852(0.241),1.87(0.141),2.108(0.155),2.056(0.145),2.116(0.16),2.925(0.242),1.901(0.142),2.177(0.155),2.131(0.15),2.165(0.109),2.577(0.245),2.044(0.128),2.189(0.11),2.135(0.117),2.014(0.129),2.772(0.297),1.906(0.129),2.061(0.123),2.01(0.131),2.066(0.153),2.856(0.293),1.92(0.142),2.107(0.149),2.048(0.168),1.858(0.118),1.963(0.136),1.753(0.12),1.894(0.12),1.834(0.105),1.784(0.133),2.014(0.182),1.68(0.13),1.829(0.124),1.781(0.126),1.931(0.141),2.024(0.171),1.762(0.131),1.978(0.131),1.945(0.133),1.745(0.154),1.689(0.133),1.658(0.141),1.807(0.138),1.726(0.154),1.76(0.144),1.695(0.141),1.606(0.136),1.78(0.142),1.738(0.146),1.756(0.117),1.759(0.137),1.635(0.106),1.803(0.11),1.756(0.117),2.97(0.09),4.677(0.442),2.884(0.112),2.986(0.101),2.969(0.1),2.608(0.097),5.207(0.427),2.565(0.127),2.634(0.105),2.631(0.111),2.411(0.156),5.631(0.376),2.305(0.126),2.45(0.149),2.404(0.147)
Accuracy,0.751(0.008),0.425(0.014),0.748(0.008),0.748(0.007),0.751(0.008),0.758(0.008),0.396(0.016),0.751(0.01),0.755(0.009),0.759(0.008),0.755(0.01),0.396(0.018),0.75(0.011),0.752(0.009),0.755(0.009),0.753(0.006),0.441(0.02),0.752(0.008),0.751(0.007),0.754(0.007),0.761(0.008),0.418(0.016),0.751(0.01),0.758(0.007),0.761(0.008),0.758(0.009),0.397(0.017),0.748(0.01),0.756(0.009),0.758(0.011),0.771(0.007),0.533(0.02),0.765(0.009),0.769(0.007),0.772(0.006),0.774(0.008),0.505(0.017),0.757(0.01),0.772(0.008),0.774(0.008),0.766(0.008),0.497(0.016),0.747(0.011),0.763(0.008),0.765(0.008),0.778(0.009),0.572(0.02),0.772(0.01),0.774(0.008),0.779(0.009),0.776(0.009),0.54(0.019),0.758(0.012),0.775(0.008),0.777(0.008),0.776(0.007),0.529(0.016),0.754(0.013),0.773(0.006),0.776(0.007),0.705(0.005),0.257(0.055),0.705(0.007),0.704(0.006),0.704(0.006),0.726(0.006),0.114(0.023),0.713(0.01),0.725(0.006),0.724(0.007),0.737(0.009),0.082(0.02),0.714(0.011),0.735(0.009),0.737(0.009)
Macro-F1,0.721(0.015),0.264(0.023),0.391(0.051),0.711(0.016),0.724(0.014),0.738(0.016),0.248(0.016),0.376(0.032),0.731(0.017),0.741(0.014),0.735(0.018),0.245(0.015),0.391(0.048),0.726(0.017),0.735(0.016),0.725(0.014),0.268(0.018),0.382(0.036),0.718(0.014),0.731(0.014),0.74(0.014),0.262(0.015),0.382(0.048),0.733(0.015),0.743(0.014),0.739(0.017),0.247(0.016),0.385(0.043),0.734(0.017),0.743(0.019),0.764(0.013),0.326(0.018),0.393(0.046),0.756(0.014),0.767(0.012),0.769(0.015),0.321(0.015),0.389(0.04),0.762(0.014),0.77(0.013),0.754(0.016),0.317(0.014),0.384(0.033),0.747(0.015),0.754(0.014),0.775(0.018),0.351(0.017),0.392(0.031),0.766(0.015),0.778(0.018),0.771(0.016),0.337(0.018),0.389(0.024),0.766(0.015),0.773(0.016),0.77(0.012),0.332(0.016),0.393(0.026),0.763(0.012),0.77(0.014),0.585(0.015),0.173(0.031),0.332(0.041),0.581(0.017),0.589(0.017),0.657(0.013),0.112(0.023),0.361(0.031),0.65(0.014),0.659(0.015),0.686(0.019),0.091(0.023),0.37(0.021),0.68(0.017),0.691(0.018)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,MSE,Accuracy,Macro-F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm.,2.192(0.125),0.751(0.008),0.721(0.015),,CBOW1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,2.703(0.252),0.425(0.014),0.264(0.023),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
