name,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat
MSE,0.745(0.049),1.276(0.644),0.842(0.069),0.73(0.047),0.778(0.048),0.738(0.071),1.049(0.592),0.865(0.108),0.688(0.055),0.795(0.077),1.143(0.062),1.095(0.085),1.086(0.072),1.15(0.065),1.192(0.062),7.197(0.447),6.103(0.401),6.237(0.424),7.153(0.459),7.668(0.471),2.652(0.298),2.723(0.397),2.825(0.323),2.354(0.281),2.735(0.332),0.097(0.016),0.223(0.025),0.419(0.183),0.099(0.022),0.121(0.026),3.34(0.02),4.139(0.035),3.777(0.043),3.438(0.019),3.639(0.02),0.562(0.063),0.73(0.116),0.562(0.103),0.565(0.053),0.568(0.054),3.141(0.241),3.04(0.21),3.086(0.235),3.22(0.223),3.403(0.225),0.77(0.014),1.339(0.045),0.794(0.014),0.787(0.013),0.787(0.015),2.66(0.089),4.362(0.319),2.715(0.136),2.83(0.089),2.661(0.095),0.329(0.028),0.331(0.043),0.223(0.045),0.33(0.028),0.33(0.027),1.003(0.108),1.252(0.124),1.141(0.098),1.017(0.107),1.042(0.104)
Accuracy,0.511(0.02),0.49(0.077),0.534(0.024),0.528(0.021),0.515(0.02),0.605(0.024),0.585(0.059),0.6(0.022),0.621(0.021),0.604(0.023),0.465(0.028),0.456(0.022),0.506(0.022),0.462(0.025),0.472(0.026),0.304(0.02),0.253(0.025),0.25(0.027),0.321(0.02),0.325(0.018),0.302(0.034),0.321(0.041),0.297(0.038),0.332(0.027),0.312(0.029),0.914(0.012),0.825(0.018),0.85(0.033),0.913(0.018),0.892(0.022),0.258(0.002),0.245(0.002),0.257(0.005),0.262(0.002),0.255(0.002),0.567(0.031),0.567(0.034),0.642(0.032),0.563(0.03),0.565(0.03),0.293(0.025),0.265(0.024),0.266(0.023),0.288(0.027),0.29(0.021),0.525(0.006),0.473(0.007),0.557(0.004),0.516(0.006),0.523(0.006),0.333(0.011),0.302(0.01),0.356(0.011),0.316(0.011),0.329(0.012),0.693(0.025),0.744(0.02),0.819(0.022),0.693(0.024),0.692(0.024),0.504(0.033),0.465(0.028),0.475(0.026),0.49(0.031),0.5(0.031)
Macro-F1,0.482(0.019),0.434(0.056),0.492(0.022),0.49(0.019),0.479(0.019),0.453(0.024),0.415(0.043),0.429(0.026),0.456(0.023),0.439(0.024),0.438(0.028),0.455(0.023),0.502(0.022),0.437(0.024),0.432(0.027),0.199(0.023),0.19(0.017),0.192(0.019),0.232(0.041),0.195(0.025),0.231(0.026),0.253(0.033),0.244(0.036),0.246(0.025),0.231(0.024),0.821(0.026),0.747(0.03),0.756(0.049),0.821(0.03),0.806(0.031),0.245(0.002),0.203(0.002),0.225(0.01),0.24(0.001),0.228(0.002),0.561(0.032),0.543(0.04),0.637(0.033),0.558(0.032),0.557(0.031),0.269(0.028),0.255(0.023),0.256(0.022),0.259(0.027),0.251(0.021),0.528(0.006),0.448(0.011),0.554(0.004),0.518(0.006),0.522(0.006),0.341(0.011),0.314(0.021),0.351(0.012),0.323(0.011),0.33(0.013),0.724(0.022),0.747(0.02),0.831(0.02),0.724(0.022),0.724(0.022),0.505(0.032),0.451(0.031),0.467(0.026),0.49(0.031),0.496(0.031)
name,MSE,Accuracy,Macro-F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm,0.745(0.049),0.511(0.02),0.482(0.019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,1.276(0.644),0.49(0.077),0.434(0.056),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,0.842(0.069),0.534(0.024),0.492(0.022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,0.73(0.047),0.528(0.021),0.49(0.019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,0.778(0.048),0.515(0.02),0.479(0.019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm,0.738(0.071),0.605(0.024),0.453(0.024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,1.049(0.592),0.585(0.059),0.415(0.043),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,0.865(0.108),0.6(0.022),0.429(0.026),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,0.688(0.055),0.621(0.021),0.456(0.023),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,0.795(0.077),0.604(0.023),0.439(0.024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm,1.143(0.062),0.465(0.028),0.438(0.028),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,1.095(0.085),0.456(0.022),0.455(0.023),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,1.086(0.072),0.506(0.022),0.502(0.022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,1.15(0.065),0.462(0.025),0.437(0.024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,1.192(0.062),0.472(0.026),0.432(0.027),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm,7.197(0.447),0.304(0.02),0.199(0.023),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,6.103(0.401),0.253(0.025),0.19(0.017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,6.237(0.424),0.25(0.027),0.192(0.019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,7.153(0.459),0.321(0.02),0.232(0.041),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,7.668(0.471),0.325(0.018),0.195(0.025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm,2.652(0.298),0.302(0.034),0.231(0.026),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,2.723(0.397),0.321(0.041),0.253(0.033),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,2.825(0.323),0.297(0.038),0.244(0.036),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,2.354(0.281),0.332(0.027),0.246(0.025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,2.735(0.332),0.312(0.029),0.231(0.024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm,0.097(0.016),0.914(0.012),0.821(0.026),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,0.223(0.025),0.825(0.018),0.747(0.03),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,0.419(0.183),0.85(0.033),0.756(0.049),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
