name,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat
MSE,2.437(0.036),2.225(0.153),2.686(0.047),2.315(0.035),2.753(0.04),1.359(0.165),1.955(0.459),1.834(0.374),1.925(0.263),1.686(0.202),1.981(0.09),2.446(0.29),2.297(0.177),2.36(0.103),2.151(0.094),1.726(0.022),1.85(0.026),1.856(0.027),1.934(0.024),1.804(0.023),0.992(0.013),1.074(0.017),1.05(0.013),1.084(0.015),1.049(0.013),1.119(0.014),1.246(0.021),1.181(0.016),1.277(0.016),1.159(0.014),0.665(0.011),0.805(0.025),0.698(0.015),0.801(0.017),0.702(0.013),1.375(0.021),1.637(0.038),1.492(0.027),1.457(0.023),1.388(0.021),0.874(0.01),0.987(0.017),0.909(0.011),0.961(0.01),0.886(0.01),1.228(0.017),1.485(0.033),1.303(0.021),1.299(0.017),1.235(0.018)
Accuracy,0.428(0.005),0.444(0.01),0.449(0.004),0.46(0.005),0.426(0.004),0.471(0.025),0.444(0.042),0.46(0.029),0.411(0.026),0.479(0.019),0.571(0.015),0.581(0.015),0.625(0.013),0.506(0.018),0.621(0.014),0.516(0.004),0.542(0.006),0.562(0.004),0.482(0.005),0.551(0.004),0.483(0.003),0.474(0.005),0.484(0.004),0.459(0.004),0.483(0.004),0.536(0.005),0.546(0.006),0.561(0.004),0.499(0.005),0.558(0.004),0.618(0.005),0.61(0.006),0.637(0.004),0.575(0.006),0.619(0.005),0.553(0.004),0.547(0.006),0.588(0.004),0.538(0.004),0.567(0.004),0.567(0.003),0.562(0.004),0.584(0.003),0.541(0.004),0.573(0.003),0.564(0.004),0.558(0.004),0.604(0.003),0.549(0.003),0.587(0.003)
Macro-F1,0.277(0.003),0.301(0.026),0.27(0.002),0.283(0.003),0.259(0.002),0.298(0.033),0.247(0.031),0.245(0.028),0.256(0.032),0.275(0.031),0.282(0.006),0.274(0.007),0.288(0.005),0.261(0.006),0.289(0.005),0.356(0.003),0.349(0.004),0.356(0.003),0.34(0.003),0.36(0.003),0.438(0.003),0.422(0.003),0.427(0.003),0.42(0.003),0.427(0.003),0.414(0.003),0.399(0.005),0.406(0.003),0.392(0.003),0.413(0.003),0.432(0.005),0.399(0.006),0.42(0.005),0.401(0.005),0.42(0.005),0.417(0.003),0.402(0.004),0.421(0.004),0.411(0.003),0.418(0.003),0.48(0.004),0.461(0.004),0.475(0.003),0.464(0.003),0.477(0.003),0.421(0.003),0.404(0.003),0.425(0.004),0.413(0.003),0.428(0.003)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,MSE,Accuracy,Macro-F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm.,2.437(0.036),0.428(0.005),0.277(0.003),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
