"X1","X2","X3","X4","X5","X6","X7","X8"
106,106,106,106,NA,NA,NA,NA
46,101,123,174,NA,NA,NA,NA
152,207,229,280,NA,NA,NA,NA
124,124,123,124,NA,NA,NA,NA
14,54,106,270,NA,NA,NA,NA
138,178,229,394,NA,NA,NA,NA
233,233,233,NA,NA,NA,NA,NA
189,100,154,NA,NA,NA,NA,NA
422,333,387,NA,NA,NA,NA,NA
80,80,80,80,80,80,NA,NA
69,78,35,30,84,261,NA,NA
149,158,115,110,164,341,NA,NA
518,518,518,518,518,518,518,518
223,2759,3920,3678,2452,1520,1097,537
741,3277,4438,4196,2970,2038,1615,1055
48,48,48,48,NA,NA,NA,NA
363,116,21,20,NA,NA,NA,NA
411,164,69,68,NA,NA,NA,NA
16818,16818,16818,16818,16818,NA,NA,NA
7208,10395,10039,11422,10580,NA,NA,NA
24026,27213,26857,28240,27398,NA,NA,NA
70,70,70,70,70,NA,NA,NA
31,30,31,31,31,NA,NA,NA
101,100,101,101,101,NA,NA,NA
135,135,135,135,135,NA,NA,NA
62,59,60,62,60,NA,NA,NA
197,194,195,197,195,NA,NA,NA
1302,1302,1302,1302,1302,NA,NA,NA
560,559,562,562,567,NA,NA,NA
1862,1861,1864,1864,1869,NA,NA,NA
106,106,106,106,106,NA,NA,NA
46,46,47,46,47,NA,NA,NA
152,152,153,152,153,NA,NA,NA
107,107,107,107,107,NA,NA,NA
47,46,47,46,47,NA,NA,NA
154,153,154,153,154,NA,NA,NA
126,126,126,126,126,NA,NA,NA
55,55,55,55,55,NA,NA,NA
181,181,181,181,181,NA,NA,NA
